	7
Shell	2
android	3
c/c++	20
hadoop	3
ios	5
java	10
php	2
python	5
世纪空联(天津)科技有限公司	1
农联高科实业发展（成都）有限公司	1
前端	9
南京阿甲软件有限公司	1
天津亿阳信通科技有限公司	1
天津奇庐科技有限公司	1
天津奇异果科技有限公司	1
天津汇晶采生产力促进有限公司	1
天津颐博数码科技有限公司	5
太极计算机股份有限公司	1
学历：	2477
学历：不限	73927
学历：中专	11743
学历：中技	1317
学历：其他	126
学历：初中	16
学历：博士	685
学历：大专	175722
学历：本科	193635
学历：硕士	10918
学历：高中	753
数据分析	6
机器学习	2
欧蒙医学诊断(中国)有限公司	1
河南魔力米信息科技有限公司	2
算法工程师	2
经验：3-5年	1
苏州学码思企业管理合伙企业(有限合伙)	2
苏州软世通信息技术有限公司	2
苏州达内信息科技有限公司	1
苏州阿甲软件有限公司	1
长沙惟比越信息科技有限公司	1

