	1255
5-9.5千/月	1
5-9.8千/月	2
5-9千/月	187
5.5-8.5千/月	8
5.5-9千/月	6
5.9-7.9千/月	1
50元/天	2
6-11万/年	1
6-14万/年	2
6-20万/年	3
6-30万/年	1
6-7.9千/月	4
6-8.5千/月	5
6-9.5千/月	1
6.5-7.5千/月	1
6.5-8.5千/月	4
6.5-9千/月	17
6.6-8.8千/月	1
6.8-8.8千/月	1
60-100万/年	7
7-12万/年	7
7-15万/年	9
7-8.5千/月	6
7-8千/月	57
7-9.5千/月	1
7-9万/年	1
7-9万/月	1
7.5-7.5千/月	2
7.5-9千/月	2
700元/天	3
8-13万/年	5
8-16万/年	15
8-18万/年	3
8-20万/年	20
8-20万/月	1
8-25万/年	3
8-8.5千/月	2
8-9千/月	32
8.5-9.5千/月	1
80元/天	6
83元/天	1
9-14万/年	1
9.9-9.9万/月	1
90元/天	3
95元/天	1
未知	2123
0.3-1.4万/月	1
0.4-1.1万/月	1
0.4-1.4万/月	4
0.4-1.6万/月	1
0.5-1.1万/月	14
0.5-1.4万/月	11
0.5-1.6万/月	3
0.5-1万/月	1453
0.5-2.5万/月	106
0.6-1.1万/月	63
0.6-1.4万/月	26
0.6-1.9万/月	4
0.6-2.5万/月	41
0.6-2万/月	118
0.7-1.4万/月	356
0.7-1.9万/月	8
0.7-2.2万/月	2
0.7-2.5万/月	13
0.7-3万/月	5
0.8-1.4万/月	227
0.8-1.9万/月	10
0.8-1万/月	6472
0.8-2.2万/月	1
0.8-2.5万/月	75
0.8-4万/月	24
0.9-1.4万/月	72
0.9-1.7万/月	21
0.9-1.9万/月	3
0.9-2.2万/月	2
0.9-2.5万/月	10
0.9-2万/月	55
1-1.2万/月	210
1-1.4万/月	103
1-1.7万/月	107
1-1.9万/月	31
1-1万/月	3
1-2.2万/月	17
1-2.5万/年	1
1-2.5万/月	452
1-3.5千/月	2
1-3千/月	3
1-4万/月	58
1-5千/月	4
1.1-1.2万/月	2
1.1-1.3千/月	2
1.1-1.4万/月	2
1.1-1.7万/月	12
1.1-2.5万/月	5
1.1-3万/月	1
1.1-5.5万/月	2
1.2-1.2万/月	1
1.2-1.3千/月	2
1.2-1.4万/月	23
1.2-1.7万/月	97
1.2-2.3万/月	23
1.2-2.5万/月	231
1.2-2.8万/月	3
1.2-3.3万/月	2
1.2-4.2万/月	15
1.2-4.9万/月	1
1.2-4万/月	28
1.3-1.7万/月	41
1.3-2.2千/月	1
1.3-2.3万/月	27
1.3-2.5万/月	146
1.3-2.8万/月	1
1.3-2万/月	210
1.4-1.7万/月	12
1.4-2.3万/月	6
1.4-2.5万/月	39
1.4-2.8万/月	27
1.4-3万/月	1
1.5-1.7万/月	15
1.5-2.2千/月	3
1.5-2.3万/月	54
1.5-2.5万/年	5
1.5-2.5万/月	3429
1.5-2.8万/月	56
1.5-2.9千/月	1
1.5-3.5千/月	2
1.5-3千/月	18
1.5-4万/月	74
1.5-6万/月	8
1.5千以下/月	175
1.6-2.3万/月	9
1.6-2.5万/月	100
1.6-2.8万/月	12
1.6-2万/月	42
1.6-3.5千/月	1
1.6-3.6万/月	3
1.6-5万/月	1
1.7-2.3万/月	12
1.7-2.5万/月	36
1.7-2.8万/月	4
1.7-3.4万/月	5
1.7-3万/月	12
1.8-2.3万/月	34
1.8-2.8万/月	65
1.8-3.1万/月	5
1.8-3.6万/月	58
1.8-4万/月	11
1.9-2.8万/月	2
1.9-3.4万/月	2
1.9-3.9万/月	1
1.9-4万/月	1
10-12万/年	13
10-17万/年	2
10-24万/年	2
10-40万/年	5
100万以上/年	3
100元/天	61
10万以上/月	13
11-18万/年	1
11-20万/年	2
11.7-16万/年	3
1100元/天	2
12-14万/年	3
12-16万/年	7
12-23万/年	5
12-30万/年	7
12-35万/年	1
12-60万/年	1
12.7-50万/年	1
13-15万/年	1
135元/天	2
14-16万/年	1
14-18万/年	2
14-20万/年	4
14-25万/年	2
14元/小时	2
15-21万/年	4
15-24万/年	4
15-26万/年	1
15-30万/年	138
15-30万/月	2
15-35万/年	12
15-35万/月	1
15-40万/年	11
15-75万/年	4
1500元/天	3
16-18万/年	2
168元/天	1
17-23万/年	2
17-30万/年	1
170元/天	1
18-24万/年	7
18-36万/年	2
18-36万/月	1
18-40万/年	6
2-2.4千/月	1
2-2.5万/月	2282
2-3.3万/月	10
2-3.5千/月	15
2-3.6万/月	3
2-3.8万/月	12
2-4.4万/月	2
2-4千/月	140
2-6千/月	12
2-9.9千/月	1
2.1-2.2千/月	2
2.2-2.3万/月	1
2.2-2.8万/月	12
2.2-3.9万/月	1
2.2-4万/月	3
2.2-6千/月	1
2.3-2.5千/月	1
2.3-2.8万/月	3
2.3-3.9万/月	1
2.3-4.5万/月	2
2.4-2.5千/月	1
2.4-3.2万/月	1
2.5-2.5千/月	1
2.5-3.2万/月	10
2.5-3.7万/月	1
2.5-3.9万/月	1
2.5-3千/月	9
2.5-4.5万/月	51
2.5-4.9千/月	1
2.5-4万/月	225
2.5-5.5千/月	1
2.5-8千/月	1
2.6-5万/月	1
2.7-3.2万/月	2
2.8-3.2万/月	3
2.8-3千/月	1
2.8-4.5万/月	1
2.8-4.9千/月	2
2.8-4万/年	1
2.8-4万/月	8
2.8-5.2千/月	5
2.8-5.5千/月	1
2.8-5千/月	9
2.8-8千/月	2
20-100万/月	2
20-26万/年	2
20-36万/年	6
20-40万/年	89
20-40万/月	4
20-45万/年	5
2000元/天	2
22-30万/年	2
22-35万/年	2
22-54万/年	1
23-45万/年	1
240元/天	1
25-30万/年	9
25-40万/年	29
25-40万/月	1
25-45万/年	6
26-34万/年	1
26-39万/年	1
27-42万/年	1
28-38万/年	1
28-45万/年	2
280元/天	2
3-3.5千/月	38
3-4.3千/月	1
3-4.4万/月	1
3-4.6千/月	1
3-4.8千/月	6
3-4千/月	82
3-5.4千/月	4
3-5.5万/月	4
3-5.6千/月	11
3-5.9千/月	4
3-5万/月	237
3-7.5千/月	1
3-7千/月	33
3-8万/月	1
3-9.9千/月	1
3-9千/月	14
3.2-4.3万/月	2
3.2-4万/月	1
3.2-5.5千/月	3
3.2-5.8千/月	1
3.5-4.5千/月	32
3.5-4万/月	4
3.5-5.5千/月	73
3.5-6.5万/月	1
3.5-8.5千/月	1
3.5-8千/月	38
3.8-4.5千/月	2
30-36万/年	1
30-40万/年	246
30-40万/月	1
30-45万/年	5
30-70万/年	1
30-80万/年	1
300-500万/年	2
35-38万/年	1
35-45万/年	5
35-70万/年	1
4-4.3千/月	1
4-5.6千/月	1
4-5.9千/月	4
4-5千/月	115
4-6.5千/月	20
4-6万/年	3
4-6万/月	41
4-7.5千/月	10
4-8千/月	952
4.2-6.4千/月	1
4.2-6千/月	1
4.5-7.5千/月	16
4.5-8千/月	137
4.5-9万/年	1
4.6-6千/月	1
4.8-8千/月	1
4.9-9千/月	1
40-70万/年	3
40-80万/年	5
46-90万/年	1
5-12万/年	3
5-6.2千/月	2
5-6.5千/月	28
5-6千/月	170
5-7万/年	3
5-7万/月	68
5-8千/月	1119
5-9.2千/月	2
5-9万/月	1
5.4-7.8千/月	1
5.4-7千/月	3
5.5-6.5千/月	8
5.5-6千/月	2
5.5-8千/月	20
5.6-10万/年	1
5.7-7千/月	1
5.8-6.6万/月	1
5.9-6千/月	2
50-100万/年	5
50-70万/年	6
50-80万/年	9
500元/天	6
6-10万/年	15
6-10万/月	3
6-15万/年	9
6-6.5千/月	3
6-7千/月	42
6-8.9千/月	4
6-8万/年	82
6-8万/月	1
6-9千/月	435
6.5-8千/月	21
6.5-9.5千/月	4
60-120万/年	2
60-80万/年	19
7-14万/年	1
7-16万/年	1
7-8万/年	1
7.5-8.5千/月	3
7.8-9.1千/月	1
70-80万/年	1
8-10万/年	217
8-12万/年	34
8-12万/月	1
8-15万/年	63
8-40万/年	1
8-8.9千/月	1
8-8千/月	2
8-9.5千/月	1
8-9万/年	3
8.9-9千/月	2
80-100万/年	14
80-80万/年	1
800元/天	3
9-11万/年	2
9-13万/年	2
9-16万/年	1
9-18万/年	1
9-25万/年	3
0.2-1万/月	7
0.3-1.3万/月	3
0.4-1.3万/月	7
0.4-1.8万/月	6
0.4-2万/月	31
0.5-1.3万/月	22
0.5-1.8万/月	5
0.6-1.3万/月	86
0.6-1.6万/月	22
0.6-1.8万/月	43
0.6-1万/月	2053
0.6-2.6万/月	1
0.6-2.9万/月	4
0.7-1.1万/月	108
0.7-1.3万/月	170
0.7-1.6万/月	24
0.7-1.8万/月	28
0.7-2.1万/月	3
0.7-2万/月	71
0.7-3.5万/月	43
0.8-1.1万/月	108
0.8-1.3万/月	478
0.8-1.6万/月	943
0.8-1.8万/月	225
0.8-2.4万/月	7
0.8-2.9万/月	1
0.8-3.5万/月	3
0.8-3万/月	65
0.9-1.1万/月	46
0.9-1.3万/月	119
0.9-1.6万/月	70
0.9-1.8万/月	233
0.9-1万/月	23
0.9-2.9万/月	1
1-1.1万/月	7
1-1.3万/月	114
1-1.5千/月	1
1-1.6万/年	1
1-1.6万/月	354
1-1.8万/年	2
1-1.8万/月	976
1-2.4万/月	5
1-2.7万/月	3
1-2千/月	13
1-3.5万/年	1
1-3.5万/月	13
1-3万/月	288
1.1-1.6万/月	28
1.1-2.2万/月	22
1.1-3.5万/月	1
1.2-1.6万/月	184
1.2-1.9万/月	15
1.2-2.2万/月	74
1.2-2.4万/月	273
1.2-2.7万/月	1
1.2-2千/月	1
1.2-3.5万/月	10
1.2-3万/月	56
1.2-4.8万/月	1
1.3-1.6万/月	67
1.3-1.9万/月	7
1.3-2.2万/月	13
1.3-2.4万/月	3
1.3-3.5万/月	1
1.3-4万/月	1
1.4-1.6万/月	20
1.4-1.9万/月	6
1.4-2.2万/月	18
1.4-2.4万/月	16
1.4-2万/月	84
1.5-1.6万/月	7
1.5-1.9万/月	26
1.5-2.2万/月	146
1.5-2.7万/月	10
1.5-2千/月	329
1.5-3.5万/月	110
1.5-3万/月	2254
1.5-4.5千/月	1
1.6-1.9万/月	1
1.6-2.2万/月	36
1.6-2.7万/月	2
1.6-3.3万/月	1
1.6-3.5万/月	7
1.6-3.8万/月	2
1.6-6万/月	2
1.7-2.2万/月	10
1.7-2.7万/月	1
1.7-2万/月	2
1.7-3.3万/月	1
1.7-3.5万/月	4
1.8-2.2万/月	64
1.8-2.5万/年	1
1.8-2.5万/月	328
1.8-2千/月	1
1.8-3.5万/年	1
1.8-3.5万/月	83
1.8-3.8万/月	1
1.8-3万/月	188
1.8-4千/月	1
1.8-5万/月	1
1.9-2.2万/月	2
1.9-2.5万/月	1
1.9-3.5万/月	2
1.9-3.8万/月	2
10-11万/年	1
10-14万/年	6
10-16万/年	5
10-20万/年	139
10-20万/月	19
10-30万/年	66
10-30万/月	1
104元/天	1
11-17万/年	1
12-18万/年	55
12-18万/月	3
12-20万/年	37
12-25万/年	18
1200元/天	2
120元/天	72
125元/天	2
13-14万/年	1
13-18.5万/年	1
13-19万/年	1
144元/天	2
15-20万/年	658
15-22.5万/年	1
15-23万/年	3
15-25万/年	112
15-25万/月	4
15-28万/年	9
15-28万/月	1
15-60万/月	1
15.4-53.2万/年	1
15.6-31.2万/年	2
16-21万/年	1
16-24万/年	2
16-29万/年	1
16-38万/年	1
160元/天	8
17-20万/年	1
17-25万/年	1
18-21.9万/年	2
18-23万/年	1
18-26万/年	4
18-26万/月	1
18-28万/年	4
18-30万/年	17
18-35万/年	3
2-2.2万/月	3
2-2.4万/月	9
2-2.7万/月	2
2-2.9万/月	1
2-3.2万/月	7
2-3.5万/月	425
2-3千/月	446
2-4.5千/月	4
2-4万/年	3
2-4万/月	839
2-5千/月	25
2-6万/月	16
2-8千/月	8
2.1-2.7万/月	1
2.2-2.5万/月	1
2.2-3.6万/月	1
2.2-3万/月	8
2.2-4.4万/月	2
2.3-2.5万/月	2
2.3-4万/月	3
2.4-3.6万/月	2
2.5-2.8万/月	2
2.5-3.3万/月	1
2.5-3.5千/月	18
2.5-3万/月	1418
2.5-5千/月	35
2.5-6万/月	3
2.5-8万/月	1
2.6-3千/月	1
2.6-4万/月	3
2.6-5千/月	3
2.7-5.5万/月	1
2.8-3.5千/月	1
2.8-4.3千/月	5
2.8-4.6千/月	4
2.8-4.8千/月	18
2.8-4千/月	1
2.8-5万/月	4
20-30万/年	756
20-30万/月	3
20-32万/年	1
20-35万/年	42
20-42.5万/年	1
20-60万/年	7
20000元/天	1
200元/天	37
200元/小时	2
21-40万/年	1
24-40万/年	4
24-48万/年	1
24-50万/年	1
25-28万/年	1
25-35万/年	32
25-60万/年	1
25.2-40万/年	2
25元/小时	3
28-30万/年	1
28-35万/年	4
3-3.5万/月	31
3-4.5千/月	1782
3-4.6万/月	1
3-5.3千/月	37
3-5.8千/月	63
3-6千/月	436
3-7万/月	6
3.2-3.9万/月	3
3.2-5千/月	2
3.3-4.2万/月	1
3.5-4.5万/月	5
3.5-4.9千/月	4
3.5-5千/月	75
3.5-6.5千/月	18
3.5-6万/月	8
3.5-7.9千/月	1
3.5-7千/月	39
3.6-4万/月	1
3.6-7.4千/月	1
30-120万/年	2
30-32万/年	1
30-35万/年	3
30-42万/年	2
30-60万/年	17
3000元/天	8
36-54万/年	1
38元/小时	2
4-15万/年	1
4-4.5千/月	11
4-5万/年	18
4-5万/月	188
4-6.9千/月	1
4-7千/月	373
4-8.5千/月	7
4-8万/年	3
4-8万/月	10
4-9.9千/月	2
4-9千/月	39
4.3-8千/月	1
4.5-5.5千/月	16
4.5-5千/月	11
4.5-7千/月	82
4.5-8.5千/月	11
4.8-5.3千/月	1
4.8-8.8千/月	1
4.9-8千/月	2
40-60万/年	20
40-60万/月	4
45-60万/年	1
45-65万/年	2
5-20万/年	4
5-25万/年	3
5-6.4千/月	1
5-6万/年	9
5-6万/月	2
5-7.5千/月	15
5-8.5千/月	9
5-9.9千/月	12
5.1-5.6千/月	1
5.5-6.9千/月	1
5.5-7.5千/月	9
5.5-7千/月	16
5.7-6.2千/月	1
5.9-9.9千/月	1
50-60万/年	40
5元/小时	2
6-12万/年	19
6-12万/月	2
6-6.9千/月	1
6-7.5千/月	1
6-7万/年	1
6-8.8千/月	1
6-8千/月	6034
6-9.9千/月	12
6-9万/年	6
6-9万/月	1
6.4-6.5千/月	2
6.5-15万/年	3
6.5-7千/月	3
600元/天	5
60元/天	3
7-10万/年	9
7-10万/月	12
7-13万/年	2
7-9.9千/月	11
7-9千/月	216
7.9-8千/月	4
8-14万/年	3
8-30万/年	5
8-9.9千/月	8
8.4-8.5千/月	3
8.6-9.8千/月	1
80-120万/年	5
80-150万/年	1
84-120万/年	1
9-10万/年	2
9-12万/年	9
9-15万/年	5
9-24万/年	1
900元/天	2
