rang,count
7500.0,5
7750.0,7
9550.0,2
9888.0,1
8499.5,1
8499.0,2
8500.0,444
9000.0,58
9500.0,395
10000.0,128
10499.5,1
10500.0,434
7500.0,45
7750.0,4
8000.0,143
85000.5,31
10500.5,2
8750.0,7
9250.0,3
9750.0,34
10000.0,2
10250.0,13
10750.0,67
11250.0,110
8000.0,2
8250.0,4
8500.0,1
9000.0,368
9500.0,66
10000.0,1266
10250.0,2
10500.0,245
10750.0,2
11000.0,136
11200.0,1
11499.5,1
11500.0,2287
11750.0,2
11999.5,1
12000.0,790
8000.0,1
8250.0,1
8500.0,6
95000.0,1
100000.0,2
9000.5,4723
9675.0,1
9200.0,1
10416.5,4
12499.5,2
9250.0,1
10250.0,7
10750.0,2
11250.0,2
11750.0,3
12250.0,1
12750.0,3
9950.0,1
9500.0,13
9750.0,2
10000.0,25
10500.0,94
11000.0,65
11500.0,25
12000.0,142
12500.0,29
13000.0,6
13500.0,117
13500.5,1
14050.0,1
12499.5,1
14998.5,1
